Date,Open,High,Low,Close,Adj Close,Volume
2007/8/1,9188.599609,9265.700195,7987.609863,8982.160156,8982.126953,117799200
2007/9/1,9018.889648,9474.049805,8841.639648,9411.950195,9411.916016,78094400
2007/10/1,9523.980469,9859.650391,9275.719727,9711.370117,9711.333008,115958000
2007/11/1,9780.589844,9785.75,8207.969727,8586.400391,8586.368164,101083200
2007/12/1,8623.120117,8804.929688,7664.620117,8506.280273,8506.248047,81858000
2008/1/1,8491.570313,8546.200195,7384.609863,7521.129883,7521.101563,110618000
2008/2/1,7613.580078,8473.709961,7530.370117,8412.759766,8412.727539,66958400
2008/3/1,8213.700195,9049.230469,7900.799805,8572.589844,8572.557617,119302600
2008/4/1,8593.200195,9194.860352,8419.719727,8919.919922,8919.886719,119824400
2008/5/1,8998.05957,9309.950195,8548.320313,8619.080078,8619.047852,110158600
2008/6/1,8638.480469,8809.330078,7466.200195,7523.540039,7523.511719,82064800
2008/7/1,7528.540039,7569.180176,6708.459961,7024.060059,7024.03418,92596000
2008/8/1,6920.75,7376.689941,6809.959961,7046.109863,7046.083984,78415200
2008/9/1,6967.220215,6967.220215,5530.189941,5719.279785,5719.258789,80402400
2008/10/1,5854,5854,4110.089844,4870.660156,4870.641602,66392400
2008/11/1,4925.740234,5095.97998,3955.429932,4460.490234,4460.473633,68436000
2008/12/1,4436.120117,4750.959961,4190.02002,4591.220215,4591.203125,87324000
2009/1/1,4725.259766,4817.439941,4164.189941,4247.970215,4247.954102,41117400
2009/2/1,4277.100098,4607.970215,4240.080078,4557.149902,4557.132813,64448000
2009/3/1,4528.27002,5468.490234,4328.049805,5210.839844,5210.820313,116669000
2009/4/1,5271.830078,6071.060059,5271.830078,5992.569824,5992.547363,149469000
2009/5/1,6285.600098,6930.589844,6256.290039,6890.439941,6890.414063,140233400
2009/6/1,7033.330078,7084.830078,6100.080078,6432.160156,6432.135742,104431200
2009/7/1,6445.850098,7185.52002,6433.689941,7077.709961,7077.683594,110756000
2009/8/1,7036.470215,7138.939941,6629.100098,6825.950195,6825.924316,78386200
2009/9/1,6834.629883,7558.879883,6807.620117,7509.169922,7509.14209,92419400
2009/10/1,7581.379883,7811.919922,7233.629883,7340.080078,7340.052246,99066000
2009/11/1,7238.299805,7875.47998,7218.890137,7582.209961,7582.181152,81100600
2009/12/1,7615.950195,8188.799805,7549.009766,8188.109863,8188.079102,102750800
2010/1/1,8222.419922,8395.389648,7481.899902,7640.439941,7640.411133,105426800
2010/2/1,7653.890137,7661.700195,7173.180176,7436.100098,7436.072266,43507600
2010/3/1,7492.839844,7994.620117,7451.089844,7920.060059,7920.029785,80218800
2010/4/1,7952.620117,8190.009766,7842.069824,8004.25,8004.219238,90335200
2010/5/1,7979.799805,8022.450195,7032.399902,7373.97998,7373.952148,72737400
2010/6/1,7327.009766,7645.709961,7048.600098,7329.370117,7329.342285,62387800
2010/7/1,7326.890137,7807.069824,7251.600098,7760.629883,7760.601074,83998400
2010/8/1,7829.189941,8054.290039,7577.100098,7616.279785,7616.250977,104368400
2010/9/1,7643.609863,8286.929688,7625.720215,8237.780273,8237.748047,93925800
2010/10/1,8259.080078,8386.290039,7992.810059,8287.089844,8287.057617,83728400
2010/11/1,8343.519531,8473.660156,8226.709961,8372.480469,8372.448242,60162400
2010/12/1,8430.599609,8990.379883,8428.639648,8972.5,8972.466797,86739800
2011/1/1,9039.629883,9154.929688,8738.929688,9145.349609,9145.31543,74939800
2011/2/1,9220.69043,9220.69043,8470.089844,8599.650391,8599.618164,47511600
2011/3/1,8611.790039,8829.230469,8070.52002,8683.299805,8683.267578,63751400
2011/4/1,8697.839844,9099.75,8592.230469,9007.870117,9007.836914,50125800
2011/5/1,9014.330078,9082.009766,8673.379883,8988.839844,8988.806641,48941200
2011/6/1,8999.839844,9089.469727,8433.459961,8652.589844,8652.557617,43685800
2011/7/1,8684.389648,8842.169922,8410.44043,8644.179688,8644.147461,53545000
2011/8/1,8629.969727,8707.870117,7148.759766,7741.359863,7741.331055,71594000
2011/9/1,7799.180176,7886.040039,6877.120117,7225.379883,7225.352539,52829200
